created_at,full_text,source,lang
Tue Nov 16 15:18:00 +0000 2021,"RT @ShibaInuGreece: @BitPay @amazon I can't wait $AMC accepting $SHIB!!! 😁😉😁😉🙏
Thank you !!! #SHIBARMY","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:17:43 +0000 2021,@keithplowe @amazon @Tesla Lol just wrote to you but didn't see your message to me! Snap!,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
Tue Nov 16 15:17:20 +0000 2021,Every other result on @amazon is sponsored. The point where ad revenue beats customer obsession strategy,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
Tue Nov 16 15:16:52 +0000 2021,@MartinKearns20 @BaileyGeePoetry @amazon Thank you!,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
Tue Nov 16 15:16:47 +0000 2021,"RT @thebluedot_co: @Rivian an is already worth more than automakers @Ford and @GM 🤩

@amazon has placed a 100,000-vehicle order with Rivian…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
Tue Nov 16 15:16:47 +0000 2021,"@laurenduca  Grapefruit: Auric Field, Auric Shield, Millionaire Business: The empire of the world was supposed to let you know ... Path 67 page 200 @amazon  Tellispectragence","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
Tue Nov 16 15:16:20 +0000 2021,@millenialmomnet @BaileyGeePoetry @amazon Love that,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
Tue Nov 16 15:16:15 +0000 2021,RT @OfficialTeslaAI: Retweet If U Want @amazon To Accept $Doge!!✅,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
Tue Nov 16 15:16:06 +0000 2021,RT @OfficialTeslaAI: Retweet If U Want @amazon To Accept $Doge!!✅,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:16:01 +0000 2021,@OfficialTeslaAI @ItsDogeCoin @amazon Done and done!,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
Tue Nov 16 15:16:01 +0000 2021,RT @ShibaInuHodler: Buy #Shib before @Amazon announces it.🛒,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:15:53 +0000 2021,"RT @StellantisNA: PRESS RELEASE: https://t.co/XDWmTmbLTR

Operation 25//8 from @Dodge is enlisting a team of 25 ambassadors across automoti…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
Tue Nov 16 15:15:47 +0000 2021,"@ShibaInuHodler @amazon Hi : Shiba 1 million people
elon musk has .
                .......
Go                 
      #Shiba  🚀         
            🌿👆🌿
                 ❤        
"" first target 1 cent "" 
 &lt;  🇮🇷@Iran_Shiba  &gt;
           🌍🌎🌏
🌿🍃🌿🍃🌿🍃🌿🍃","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
